,area_type,availability,location,size,total_sqft,bath,balcony,price
0,Super built-up  Area,0,Electronic City Phase II,2,1056.0,2.0,1.0,39.07
1,Plot  Area,1,others,4,2600.0,5.0,3.0,120.0
2,Built-up  Area,1,Uttarahalli,3,1440.0,2.0,3.0,62.0
3,Super built-up  Area,1,others,3,1521.0,3.0,1.0,95.0
4,Super built-up  Area,1,Kothanur,2,1200.0,2.0,1.0,51.0
5,Super built-up  Area,1,Whitefield,2,1170.0,2.0,1.0,38.0
8,Super built-up  Area,1,Marathahalli,3,1310.0,3.0,1.0,63.25
10,Super built-up  Area,0,Whitefield,3,1800.0,2.0,2.0,70.0
11,Plot  Area,1,Whitefield,4,2785.0,5.0,3.0,295.0
12,Super built-up  Area,1,7th Phase JP Nagar,2,1000.0,2.0,1.0,38.0
13,Built-up  Area,1,Gottigere,2,1100.0,2.0,2.0,40.0
14,Plot  Area,1,Sarjapur,3,2250.0,3.0,2.0,148.0
15,Super built-up  Area,1,Mysore Road,2,1175.0,2.0,2.0,73.5
16,Super built-up  Area,1,Bisuvanahalli,3,1180.0,3.0,2.0,48.0
17,Super built-up  Area,1,Raja Rajeshwari Nagar,3,1540.0,3.0,3.0,60.0
18,Super built-up  Area,1,others,3,2770.0,4.0,2.0,290.0
19,Super built-up  Area,1,others,2,1100.0,2.0,2.0,48.0
20,Built-up  Area,1,Kengeri,1,600.0,1.0,1.0,15.0
21,Super built-up  Area,0,others,3,1755.0,3.0,1.0,122.0
22,Plot  Area,1,Thanisandra,4,2800.0,5.0,2.0,380.0
23,Super built-up  Area,1,Bellandur,3,1767.0,3.0,1.0,103.0
24,Super built-up  Area,0,Thanisandra,1,510.0,1.0,0.0,25.25
25,Super built-up  Area,0,others,3,1250.0,3.0,2.0,56.0
26,Super built-up  Area,1,Electronic City,2,660.0,1.0,1.0,23.1
27,Built-up  Area,0,Whitefield,3,1610.0,3.0,2.0,81.0
28,Super built-up  Area,0,Ramagondanahalli,2,1151.0,2.0,2.0,48.77
29,Super built-up  Area,1,Electronic City,3,1025.0,2.0,1.0,47.0
30,Super built-up  Area,0,Yelahanka,4,2475.0,4.0,0.0,186.0
31,Super built-up  Area,1,Bisuvanahalli,3,1075.0,2.0,1.0,35.0
32,Super built-up  Area,1,Hebbal,3,1760.0,2.0,2.0,123.0
33,Super built-up  Area,1,Raja Rajeshwari Nagar,3,1693.0,3.0,3.0,57.39
35,Super built-up  Area,0,Kanakpura Road,2,700.0,2.0,1.0,36.0
36,Super built-up  Area,1,Electronics City Phase 1,2,1070.0,2.0,1.0,45.5
37,Super built-up  Area,1,Kundalahalli,3,1724.0,3.0,2.0,125.0
38,Super built-up  Area,1,Chikkalasandra,3,1290.0,2.0,2.0,56.12
39,Built-up  Area,1,Uttarahalli,2,1143.0,2.0,2.0,45.0
41,Super built-up  Area,0,Sarjapur  Road,3,1254.0,3.0,2.0,38.0
42,Super built-up  Area,1,others,1,600.0,1.0,0.0,38.0
43,Plot  Area,1,Yelahanka,1,660.0,1.0,0.0,48.0
44,Super built-up  Area,0,Kanakpura Road,2,1330.74,2.0,2.0,91.79
46,Super built-up  Area,1,Doddathoguru,2,970.0,2.0,0.0,33.0
47,Super built-up  Area,0,Whitefield,2,1459.0,2.0,1.0,94.82
48,Plot  Area,1,KR Puram,2,800.0,1.0,1.0,130.0
49,Built-up  Area,1,others,2,869.0,2.0,1.0,36.0
50,Super built-up  Area,1,others,2,1270.0,2.0,1.0,50.0
51,Super built-up  Area,0,Bhoganhalli,3,1670.0,3.0,1.0,99.0
52,Built-up  Area,1,Whitefield,3,2010.0,3.0,2.0,91.0
53,Super built-up  Area,1,Lakshminarayana Pura,2,1185.0,2.0,2.0,75.0
54,Super built-up  Area,1,Yelahanka,3,1600.0,2.0,3.0,75.0
55,Super built-up  Area,1,Begur Road,2,1200.0,2.0,2.0,44.0
57,Super built-up  Area,1,others,2,1500.0,2.0,2.0,185.0
58,Plot  Area,1,others,6,1407.0,4.0,1.0,150.0
59,Super built-up  Area,1,others,2,840.0,2.0,2.0,45.0
60,Plot  Area,1,others,3,4395.0,3.0,2.0,240.0
61,Super built-up  Area,1,others,2,845.0,2.0,1.0,55.0
62,Plot  Area,1,Whitefield,4,5700.0,5.0,3.0,650.0
63,Built-up  Area,1,Varthur,2,1160.0,2.0,2.0,44.0
64,Built-up  Area,1,Bommanahalli,8,3000.0,8.0,0.0,140.0
65,Super built-up  Area,1,Doddathoguru,2,1100.0,2.0,1.0,62.0
66,Super built-up  Area,0,others,2,1140.0,2.0,3.0,43.0
67,Super built-up  Area,1,Marathahalli,2,1220.0,2.0,1.0,57.0
68,Plot  Area,1,others,8,1350.0,7.0,0.0,85.0
69,Super built-up  Area,1,Kanakpura Road,2,1005.0,2.0,1.0,36.68
70,Plot  Area,1,others,3,500.0,3.0,2.0,100.0
71,Super built-up  Area,0,Begur Road,2,1358.0,2.0,1.0,80.58
72,Super built-up  Area,1,Hegde Nagar,3,1569.0,3.0,1.0,101.0
73,Super built-up  Area,0,Haralur Road,2,1240.0,2.0,1.0,70.0
74,Super built-up  Area,1,Hennur Road,3,2089.0,3.0,2.0,140.0
75,Super built-up  Area,1,Kothannur,2,1206.0,2.0,1.0,48.23
76,Super built-up  Area,1,Kalena Agrahara,2,1150.0,2.0,3.0,40.0
77,Built-up  Area,1,others,3,2511.0,3.0,3.0,205.0
78,Built-up  Area,1,others,2,460.0,1.0,0.0,22.0
79,Built-up  Area,1,others,6,4400.0,6.0,3.0,250.0
80,Super built-up  Area,1,others,3,1660.0,2.0,2.0,105.0
82,Super built-up  Area,0,Yelahanka,2,1326.0,2.0,2.0,78.0
83,Super built-up  Area,1,others,3,1325.0,2.0,2.0,60.8
84,Super built-up  Area,1,others,3,1499.0,5.0,2.0,102.0
85,Built-up  Area,1,Hegde Nagar,6,3000.0,7.0,2.0,210.0
86,Super built-up  Area,1,Kanakpura Road,3,1665.0,3.0,2.0,88.0
87,Super built-up  Area,0,others,2,708.0,2.0,2.0,37.0
88,Super built-up  Area,1,Kasavanhalli,2,1060.0,2.0,2.0,58.06
89,Plot  Area,1,Rajaji Nagar,6,710.0,6.0,3.0,160.0
90,Built-up  Area,1,others,2,1000.0,2.0,2.0,70.0
91,Super built-up  Area,0,Electronic City,2,1000.0,2.0,1.0,28.88
92,Super built-up  Area,1,others,3,1450.0,2.0,2.0,70.0
93,Plot  Area,1,others,4,1200.0,4.0,2.0,155.0
94,Super built-up  Area,0,Thanisandra,2,1296.0,2.0,3.0,80.0
95,Super built-up  Area,1,others,3,1540.0,3.0,2.0,90.0
96,Plot  Area,1,Kengeri,4,2894.0,4.0,1.0,245.0
97,Super built-up  Area,1,others,3,1330.0,2.0,1.0,48.0
98,Built-up  Area,1,others,2,1200.0,2.0,1.0,65.0
99,Built-up  Area,1,others,3,1200.0,3.0,1.0,90.0
100,Super built-up  Area,1,Yeshwanthpur,3,2502.0,3.0,3.0,138.0
101,Built-up  Area,1,Chandapura,2,650.0,1.0,1.0,17.0
102,Plot  Area,1,Kothanur,3,2400.0,2.0,1.0,150.0
103,Super built-up  Area,1,others,2,1007.0,2.0,2.0,43.0
