,availability,size,total_sqft,bath,balcony,price,area_type_n,location_n
0,0,2,1056.0,2.0,1.0,39.07,3,33
1,1,4,2600.0,5.0,3.0,120.0,2,112
2,1,3,1440.0,2.0,3.0,62.0,0,103
3,1,3,1521.0,3.0,1.0,95.0,3,112
4,1,2,1200.0,2.0,1.0,51.0,3,72
5,1,2,1170.0,2.0,1.0,38.0,3,108
8,1,3,1310.0,3.0,1.0,63.25,3,80
10,0,3,1800.0,2.0,2.0,70.0,3,108
11,1,4,2785.0,5.0,3.0,295.0,2,108
12,1,2,1000.0,2.0,1.0,38.0,3,1
13,1,2,1100.0,2.0,2.0,40.0,0,36
14,1,3,2250.0,3.0,2.0,148.0,2,94
15,1,2,1175.0,2.0,2.0,73.5,3,81
16,1,3,1180.0,3.0,2.0,48.0,3,19
17,1,3,1540.0,3.0,3.0,60.0,3,89
18,1,3,2770.0,4.0,2.0,290.0,3,112
19,1,2,1100.0,2.0,2.0,48.0,3,112
20,1,1,600.0,1.0,1.0,15.0,0,67
21,0,3,1755.0,3.0,1.0,122.0,3,112
22,1,4,2800.0,5.0,2.0,380.0,2,100
23,1,3,1767.0,3.0,1.0,103.0,3,17
24,0,1,510.0,1.0,0.0,25.25,3,100
25,0,3,1250.0,3.0,2.0,56.0,3,112
26,1,2,660.0,1.0,1.0,23.1,3,32
27,0,3,1610.0,3.0,2.0,81.0,0,108
28,0,2,1151.0,2.0,2.0,48.77,3,91
29,1,3,1025.0,2.0,1.0,47.0,3,32
30,0,4,2475.0,4.0,0.0,186.0,3,109
31,1,3,1075.0,2.0,1.0,35.0,3,19
32,1,3,1760.0,2.0,2.0,123.0,3,42
33,1,3,1693.0,3.0,3.0,57.39,3,89
35,0,2,700.0,2.0,1.0,36.0,3,65
36,1,2,1070.0,2.0,1.0,45.5,3,34
37,1,3,1724.0,3.0,2.0,125.0,3,76
38,1,3,1290.0,2.0,2.0,56.12,3,28
39,1,2,1143.0,2.0,2.0,45.0,0,103
41,0,3,1254.0,3.0,2.0,38.0,3,95
42,1,1,600.0,1.0,0.0,38.0,3,112
43,1,1,660.0,1.0,0.0,48.0,2,109
44,0,2,1330.74,2.0,2.0,91.79,3,65
46,1,2,970.0,2.0,0.0,33.0,3,31
47,0,2,1459.0,2.0,1.0,94.82,3,108
48,1,2,800.0,1.0,1.0,130.0,2,59
49,1,2,869.0,2.0,1.0,36.0,0,112
50,1,2,1270.0,2.0,1.0,50.0,3,112
51,0,3,1670.0,3.0,1.0,99.0,3,18
52,1,3,2010.0,3.0,2.0,91.0,0,108
53,1,2,1185.0,2.0,2.0,75.0,3,77
54,1,3,1600.0,2.0,3.0,75.0,3,109
55,1,2,1200.0,2.0,2.0,44.0,3,16
57,1,2,1500.0,2.0,2.0,185.0,3,112
58,1,6,1407.0,4.0,1.0,150.0,2,112
59,1,2,840.0,2.0,2.0,45.0,3,112
61,1,2,845.0,2.0,1.0,55.0,3,112
63,1,2,1160.0,2.0,2.0,44.0,0,104
64,1,8,3000.0,8.0,0.0,140.0,0,20
65,1,2,1100.0,2.0,1.0,62.0,3,31
66,0,2,1140.0,2.0,3.0,43.0,3,112
67,1,2,1220.0,2.0,1.0,57.0,3,80
68,1,8,1350.0,7.0,0.0,85.0,2,112
69,1,2,1005.0,2.0,1.0,36.68,3,65
70,1,3,500.0,3.0,2.0,100.0,2,112
71,0,2,1358.0,2.0,1.0,80.58,3,16
72,1,3,1569.0,3.0,1.0,101.0,3,44
73,0,2,1240.0,2.0,1.0,70.0,3,40
74,1,3,2089.0,3.0,2.0,140.0,3,46
75,1,2,1206.0,2.0,1.0,48.23,3,71
76,1,2,1150.0,2.0,3.0,40.0,3,62
